Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Aapticheilichthys websteri,Aapticheilichthys,websteri,1026895,Does not or is unlikely to produce sound under natural conditions,452075,
Aaptosyax grypus,Aaptosyax,grypus,1011282,Likely to produce sound under natural conditions but unconfirmed,452075,
Abactochromis labrosus,Abactochromis,labrosus,1015413,Likely to produce sound under natural conditions but unconfirmed,452075,
Abalistes filamentosus,Abalistes,filamentosus,276793,Likely to produce sound under natural conditions but unconfirmed,452075,
Abalistes stellatus,Abalistes,stellatus,219873,Likely to produce sound under natural conditions but unconfirmed,452075,
Abantennarius analis,Abantennarius,analis,315963,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius bermudensis,Abantennarius,bermudensis,1605257,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius coccineus,Abantennarius,coccineus,1605256,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius dorehensis,Abantennarius,dorehensis,1605258,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius drombus,Abantennarius,drombus,1605261,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius duescus,Abantennarius,duescus,1605259,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius nummifer,Abantennarius,nummifer,1605260,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius rosaceus,Abantennarius,rosaceus,1592359,Does not or is unlikely to produce sound under natural conditions,452075,
Abantennarius sanguineus,Abantennarius,sanguineus,1592389,Does not or is unlikely to produce sound under natural conditions,452075,
Abbottina binhi,Abbottina,binhi,1009901,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina lalinensis,Abbottina,lalinensis,1010783,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina liaoningensis,Abbottina,liaoningensis,1011633,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina obtusirostris,Abbottina,obtusirostris,1015800,Likely to produce sound under natural conditions but unconfirmed,452075,
Abbottina rivularis,Abbottina,rivularis,1018726,Likely to produce sound under natural conditions but unconfirmed,452075,
Ablennes hians,Ablennes,hians,159246,Likely to produce sound under natural conditions but unconfirmed,452075,
Aboma etheostoma,Aboma,etheostoma,293673,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys barapensis,Aborichthys,barapensis,1536337,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys cataracta,Aborichthys,cataracta,1384802,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys elongatus,Aborichthys,elongatus,1016819,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys garoensis,Aborichthys,garoensis,1016322,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys iphipaniensis,Aborichthys,iphipaniensis,1494023,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys kailashi,Aborichthys,kailashi,1493115,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys kempi,Aborichthys,kempi,1017361,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys pangensis,Aborichthys,pangensis,1493116,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys rosammai,Aborichthys,rosammai,1008159,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys tikaderi,Aborichthys,tikaderi,1011940,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys verticauda,Aborichthys,verticauda,1007149,Likely to produce sound under natural conditions but unconfirmed,452075,
Aborichthys waikhomi,Aborichthys,waikhomi,1384673,Likely to produce sound under natural conditions but unconfirmed,452075,
Abramis brama,Abramis,brama,154281,Produces passive sound under natural conditions,452049,
Abramis parsa,Abramis,parsa,405807,Likely to produce sound under natural conditions but unconfirmed,452075,
