Countries_IUCN,Countries_WorldBank,Countries_conflicts
Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania
Algeria,Algeria,Algeria
American Samoa,American Samoa,American Samoa
Andorra,Andorra,Andorra
Angola,Angola,Angola
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina
Armenia,Armenia,Armenia
Aruba,Aruba,Aruba
Australia,Australia,Australia
Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,"Bahamas, The",Bahamas
Bahrain,Bahrain,Bahrain
Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,Barbados
Belarus,Belarus,Belarus
Belgium,Belgium,Belgium
Belize,Belize,Belize
Benin,Benin,Benin
Bermuda,Bermuda,Bermuda
Bhutan,Bhutan,Bhutan
"Bolivia, Plurinational State of",Bolivia,"Bolivia, Plurinational State of"
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana,Botswana
Brazil,Brazil,Brazil
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cabo Verde,Cabo Verde,Cabo Verde
Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon
Canada,Canada,Canada
Cayman Islands,Cayman Islands,Cayman Islands
Central African Republic,Central African Republic,Central African Republic
Chad,Chad,Chad
Guernsey,Channel Islands,Guernsey
Jersey,Channel Islands,Jersey
Chile,Chile,Chile
China,China,China
Colombia,Colombia,Colombia
Comoros,Comoros,Comoros
"Congo, The Democratic Republic of the","Congo, Dem. Rep.",DR Congo (Zaire)
Congo,"Congo, Rep.",Congo
Costa Rica,Costa Rica,Costa Rica
Côte d'Ivoire,Cote d'Ivoire,Côte d'Ivoire
Croatia,Croatia,Croatia
Cuba,Cuba,Cuba
Curaçao,Curacao,Curaçao
Cyprus,Cyprus,Cyprus
Czechia,Czech Republic,Czechia
Denmark,Denmark,Denmark
Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica
Dominican Republic,Dominican Republic,Dominican Republic
Ecuador,Ecuador,Ecuador
Egypt,"Egypt, Arab Rep.",Egypt
El Salvador,El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia
Eswatini,Eswatini,Eswatini
Ethiopia,Ethiopia,Ethiopia
Faroe Islands,Faroe Islands,Faroe Islands
Fiji,Fiji,Fiji
Finland,Finland,Finland
Mayotte,France,Mayotte
Réunion,France,Réunion
French Southern Territories,France,French Southern Territories
France,France,France
Guadeloupe,France,Guadeloupe
Martinique,France,Martinique
Saint Pierre and Miquelon,France,Saint Pierre and Miquelon
French Guiana,France,French Guiana
French Polynesia,French Polynesia,French Polynesia
Gabon,Gabon,Gabon
Gambia,"Gambia, The",Gambia
Georgia,Georgia,Georgia
Germany,Germany,Germany
Ghana,Ghana,Ghana
Gibraltar,United Kingdom,Gibraltar
Greece,Greece,Greece
Greenland,Greenland,Greenland
Grenada,Grenada,Grenada
Guam,Guam,Guam
Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana
Haiti,Haiti,Haiti
Honduras,Honduras,Honduras
Hong Kong,"Hong Kong SAR, China",Hong Kong
Hungary,Hungary,Hungary
Iceland,Iceland,Iceland
India,India,India
Indonesia,Indonesia,Indonesia
"Iran, Islamic Republic of","Iran, Islamic Rep.",Iran
Iraq,Iraq,Iraq
Ireland,Ireland,Ireland
Isle of Man,Isle of Man,Isle of Man
Israel,Israel,Israel
Italy,Italy,Italy
Holy See (Vatican City State),Italy,Holy See (Vatican City State)
Jamaica,Jamaica,Jamaica
Japan,Japan,Japan
Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya
Kiribati,Kiribati,Kiribati
"Korea, Democratic People's Republic of","Korea, Dem. People's Rep.","Korea, Democratic People's Republic of"
"Korea, Republic of","Korea, Rep.","Korea, Republic of"
Kuwait,Kuwait,Kuwait
Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan
Lao People's Democratic Republic,Lao PDR,Lao People's Democratic Republic
Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanon
Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia
Libya,Libya,Libya
Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg
Macao,"Macao SAR, China",Macao
Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives
Mali,Mali,Mali
Malta,Malta,Malta
Marshall Islands,Marshall Islands,Marshall Islands
Mauritania,Mauritania,Mauritania
Mauritius,Mauritius,Mauritius
Mexico,Mexico,Mexico
"Micronesia, Federated States of","Micronesia, Fed. Sts.","Micronesia, Federated States of"
"Moldova, Republic of",Moldova,"Moldova, Republic of"
Monaco,Monaco,Monaco
Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro
Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar (Burma)
Western Sahara,Morocco,Western Sahara
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,"Saint Helena, Ascension and Tristan da Cunha"
Bouvet Island,Norway,Bouvet Island
Heard Island and McDonald Islands,Australia,Heard Island and McDonald Islands
South Georgia and the South Sandwich Islands,United Kingdom,South Georgia and the South Sandwich Islands
"Taiwan, Province of China",China,"Taiwan, Province of China"
British Indian Ocean Territory,United Kingdom,British Indian Ocean Territory
Disputed Territory,Vietnam,Disputed Territory
Åland Islands,Finland,Åland Islands
Svalbard and Jan Mayen,Norway,Svalbard and Jan Mayen
Anguilla,United Kingdom,Anguilla
"Bonaire, Sint Eustatius and Saba",Netherlands,"Bonaire, Sint Eustatius and Saba"
Montserrat,United Kingdom,Montserrat
Saint Barthélemy,France,Saint Barthélemy
"Virgin Islands, British",United Kingdom,"Virgin Islands, British"
Falkland Islands (Malvinas),United Kingdom,Falkland Islands (Malvinas)
